Slang,Makna,No_Konteks,Konteks
bgt,sangat,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
emak,ibu,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
gabisa,tidak bisa,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
ngeluarin,mengeluarkan,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
keluhkesah,keluh kesah,23,"Pantesan diluar sana ada ibu2 yg sampe gorok anak2nya. Karna ternyata jd ibu dan jd seorang perempuan gak gampang, jaga biar tetep WARAS tanpa bicara tuh susah bgt. Mungkin ya emak2 yg depresi diluar sono karna gabisa ngeluarin keluhkesah nya🥺"
nonton,menonton,24,nonton my liberation notes awal awal kek bikin depresi tp lamalamaa seru nyenengin wkwk
liberation,,24,nonton my liberation notes awal awal kek bikin depresi tp lamalamaa seru nyenengin wkwk
tp,tetapi,24,nonton my liberation notes awal awal kek bikin depresi tp lamalamaa seru nyenengin wkwk
lamalamaa,lama-lama,24,nonton my liberation notes awal awal kek bikin depresi tp lamalamaa seru nyenengin wkwk
nyenengin,menyenangkan,24,nonton my liberation notes awal awal kek bikin depresi tp lamalamaa seru nyenengin wkwk
orangtua,orang tua,25,"orangtua gue nikah tahun 98, pemberkatan di gereja doang selebihnya resepsi di rumah dibiayain tante gue. Puji Tuhan anaknya gaada yang kurang gizi, pendidikan terjamin, fasilitas cukup, gak ada utang yang bikin depresi"
dibiayain,dibiayai,25,"orangtua gue nikah tahun 98, pemberkatan di gereja doang selebihnya resepsi di rumah dibiayain tante gue. Puji Tuhan anaknya gaada yang kurang gizi, pendidikan terjamin, fasilitas cukup, gak ada utang yang bikin depresi"
gaada,tidak ada,25,"orangtua gue nikah tahun 98, pemberkatan di gereja doang selebihnya resepsi di rumah dibiayain tante gue. Puji Tuhan anaknya gaada yang kurang gizi, pendidikan terjamin, fasilitas cukup, gak ada utang yang bikin depresi"
porsche,,26,"@24hwip @heliossie Ekspresi porsche itu menggambarkan gw banget pas vegas nongol, kek DEPRESI BGT VEGAS NONGOL GK PAKE ABA2 😭😭😭😭 https://t.co/4l5305Luuj"
vegas,,26,"@24hwip @heliossie Ekspresi porsche itu menggambarkan gw banget pas vegas nongol, kek DEPRESI BGT VEGAS NONGOL GK PAKE ABA2 😭😭😭😭 https://t.co/4l5305Luuj"
gk,tidak,26,"@24hwip @heliossie Ekspresi porsche itu menggambarkan gw banget pas vegas nongol, kek DEPRESI BGT VEGAS NONGOL GK PAKE ABA2 😭😭😭😭 https://t.co/4l5305Luuj"
pake,pakai,26,"@24hwip @heliossie Ekspresi porsche itu menggambarkan gw banget pas vegas nongol, kek DEPRESI BGT VEGAS NONGOL GK PAKE ABA2 😭😭😭😭 https://t.co/4l5305Luuj"
same,sama,27,"@twtbullshid Same, tapi kadang kalau lagi depresi bgt bawaannya pengen bundir sih. Gw kehilangan diri gw dan akhir2 ini gw cuman mikirin gimana caranya bundir tapi gk sakit. Emang agak gila gw keknya ini, gw cape tapi harus tetap kelihatan bahagia. Tai bgt emang hidup :')"
tai,tahi,27,"@twtbullshid Same, tapi kadang kalau lagi depresi bgt bawaannya pengen bundir sih. Gw kehilangan diri gw dan akhir2 ini gw cuman mikirin gimana caranya bundir tapi gk sakit. Emang agak gila gw keknya ini, gw cape tapi harus tetap kelihatan bahagia. Tai bgt emang hidup :')"
pantes,pantas,29,Pantes .. Mkin nyata DEPRESI TINGKAT TINGGI AKIBAT MABOK AGAMA MANSUR MANSUR KERJAAN LU EMANG LBH PANTAS JADI TUKANG TIPU https://t.co/pXhrE2yuDK
mkin,makin,29,Pantes .. Mkin nyata DEPRESI TINGKAT TINGGI AKIBAT MABOK AGAMA MANSUR MANSUR KERJAAN LU EMANG LBH PANTAS JADI TUKANG TIPU https://t.co/pXhrE2yuDK
mabok,mabuk,29,Pantes .. Mkin nyata DEPRESI TINGKAT TINGGI AKIBAT MABOK AGAMA MANSUR MANSUR KERJAAN LU EMANG LBH PANTAS JADI TUKANG TIPU https://t.co/pXhrE2yuDK
mansur,,29,Pantes .. Mkin nyata DEPRESI TINGKAT TINGGI AKIBAT MABOK AGAMA MANSUR MANSUR KERJAAN LU EMANG LBH PANTAS JADI TUKANG TIPU https://t.co/pXhrE2yuDK
lu,kamu,29,Pantes .. Mkin nyata DEPRESI TINGKAT TINGGI AKIBAT MABOK AGAMA MANSUR MANSUR KERJAAN LU EMANG LBH PANTAS JADI TUKANG TIPU https://t.co/pXhrE2yuDK
lbh,lebih,29,Pantes .. Mkin nyata DEPRESI TINGKAT TINGGI AKIBAT MABOK AGAMA MANSUR MANSUR KERJAAN LU EMANG LBH PANTAS JADI TUKANG TIPU https://t.co/pXhrE2yuDK
but,tetapi,30,"But then, semua berubah waktu dia kuliah. Okelah... aku ngerti kalo maba itu sibuknya kayak apa. Aku jg pernah kuliah. Aku mutusin buat sabar nunggu karena dia jg nunggu aku waktu dulu kerja. Aku tahan glama cerita masalah apa2 ke dia biar ga stress, sampe aku kena depresi"
then,kemudian,30,"But then, semua berubah waktu dia kuliah. Okelah... aku ngerti kalo maba itu sibuknya kayak apa. Aku jg pernah kuliah. Aku mutusin buat sabar nunggu karena dia jg nunggu aku waktu dulu kerja. Aku tahan glama cerita masalah apa2 ke dia biar ga stress, sampe aku kena depresi"
maba,mahasiswa baru,30,"But then, semua berubah waktu dia kuliah. Okelah... aku ngerti kalo maba itu sibuknya kayak apa. Aku jg pernah kuliah. Aku mutusin buat sabar nunggu karena dia jg nunggu aku waktu dulu kerja. Aku tahan glama cerita masalah apa2 ke dia biar ga stress, sampe aku kena depresi"
mutusin,memutuskan,30,"But then, semua berubah waktu dia kuliah. Okelah... aku ngerti kalo maba itu sibuknya kayak apa. Aku jg pernah kuliah. Aku mutusin buat sabar nunggu karena dia jg nunggu aku waktu dulu kerja. Aku tahan glama cerita masalah apa2 ke dia biar ga stress, sampe aku kena depresi"
nunggu,menunggu,30,"But then, semua berubah waktu dia kuliah. Okelah... aku ngerti kalo maba itu sibuknya kayak apa. Aku jg pernah kuliah. Aku mutusin buat sabar nunggu karena dia jg nunggu aku waktu dulu kerja. Aku tahan glama cerita masalah apa2 ke dia biar ga stress, sampe aku kena depresi"
glama,tidak lama,30,"But then, semua berubah waktu dia kuliah. Okelah... aku ngerti kalo maba itu sibuknya kayak apa. Aku jg pernah kuliah. Aku mutusin buat sabar nunggu karena dia jg nunggu aku waktu dulu kerja. Aku tahan glama cerita masalah apa2 ke dia biar ga stress, sampe aku kena depresi"
ptn,perguruan tinggi negeri,31,"3 tahun lalu ketolak 11 ptn, depresi(?) pastii, cape pikiran, tenaga, fisik. Sampe akhirnya nenangin diri ke pesantren buat dauroh, jauhin hp, dll. Akhirnya ketemu temen temen yg satu nasib juga bahkan ada yg lebih berat dibanding aku, disitulah tersadar ternyata aku ga sendirian"
nenangin,menenagkan,31,"3 tahun lalu ketolak 11 ptn, depresi(?) pastii, cape pikiran, tenaga, fisik. Sampe akhirnya nenangin diri ke pesantren buat dauroh, jauhin hp, dll. Akhirnya ketemu temen temen yg satu nasib juga bahkan ada yg lebih berat dibanding aku, disitulah tersadar ternyata aku ga sendirian"
dauroh,pelatihan,31,"3 tahun lalu ketolak 11 ptn, depresi(?) pastii, cape pikiran, tenaga, fisik. Sampe akhirnya nenangin diri ke pesantren buat dauroh, jauhin hp, dll. Akhirnya ketemu temen temen yg satu nasib juga bahkan ada yg lebih berat dibanding aku, disitulah tersadar ternyata aku ga sendirian"
jauhin,menjauhi,31,"3 tahun lalu ketolak 11 ptn, depresi(?) pastii, cape pikiran, tenaga, fisik. Sampe akhirnya nenangin diri ke pesantren buat dauroh, jauhin hp, dll. Akhirnya ketemu temen temen yg satu nasib juga bahkan ada yg lebih berat dibanding aku, disitulah tersadar ternyata aku ga sendirian"
hp,telepon genggam,31,"3 tahun lalu ketolak 11 ptn, depresi(?) pastii, cape pikiran, tenaga, fisik. Sampe akhirnya nenangin diri ke pesantren buat dauroh, jauhin hp, dll. Akhirnya ketemu temen temen yg satu nasib juga bahkan ada yg lebih berat dibanding aku, disitulah tersadar ternyata aku ga sendirian"
dll,dan lain-lain,31,"3 tahun lalu ketolak 11 ptn, depresi(?) pastii, cape pikiran, tenaga, fisik. Sampe akhirnya nenangin diri ke pesantren buat dauroh, jauhin hp, dll. Akhirnya ketemu temen temen yg satu nasib juga bahkan ada yg lebih berat dibanding aku, disitulah tersadar ternyata aku ga sendirian"
temen,teman,31,"3 tahun lalu ketolak 11 ptn, depresi(?) pastii, cape pikiran, tenaga, fisik. Sampe akhirnya nenangin diri ke pesantren buat dauroh, jauhin hp, dll. Akhirnya ketemu temen temen yg satu nasib juga bahkan ada yg lebih berat dibanding aku, disitulah tersadar ternyata aku ga sendirian"
biayain,membiayai,32,"Waktu pertama aku depresi, dia keliatan peduli bahkan sampe biayain aku buat pergi periksa. Tapi setelah itu tingkahnya berubah. Dia menjauh... Aku di ghosting, sampe aku ngerasa kalo dia tu ga ada di hidupku saat aku butuh orang yg bikin aku tetep sadar n normal."
ghosting,menghilang tanpa kabar,32,"Waktu pertama aku depresi, dia keliatan peduli bahkan sampe biayain aku buat pergi periksa. Tapi setelah itu tingkahnya berubah. Dia menjauh... Aku di ghosting, sampe aku ngerasa kalo dia tu ga ada di hidupku saat aku butuh orang yg bikin aku tetep sadar n normal."
tu,itu,32,"Waktu pertama aku depresi, dia keliatan peduli bahkan sampe biayain aku buat pergi periksa. Tapi setelah itu tingkahnya berubah. Dia menjauh... Aku di ghosting, sampe aku ngerasa kalo dia tu ga ada di hidupku saat aku butuh orang yg bikin aku tetep sadar n normal."
n,dan,32,"Waktu pertama aku depresi, dia keliatan peduli bahkan sampe biayain aku buat pergi periksa. Tapi setelah itu tingkahnya berubah. Dia menjauh... Aku di ghosting, sampe aku ngerasa kalo dia tu ga ada di hidupku saat aku butuh orang yg bikin aku tetep sadar n normal."
poop,berak,34,"“Saat kamu depresi, poop-lah….” – Eunhyuk"
eunhyuk,,34,"“Saat kamu depresi, poop-lah….” – Eunhyuk"
qeela,,35,"@qeelanotqela DUH QEELA JUJUR, kyknya ngga mungkin nggak depresi😭"
kyknya,kayaknya,35,"@qeelanotqela DUH QEELA JUJUR, kyknya ngga mungkin nggak depresi😭"
nggak,tidak,35,"@qeelanotqela DUH QEELA JUJUR, kyknya ngga mungkin nggak depresi😭"
halah,alah,37,"@christyo90 @withafrs @pradaivon @bang_bar0n Halah pegawai scbd mana sempet punya sampingan, keburu stress sama depresi duluan ditempat kerja"
scbd,,37,"@christyo90 @withafrs @pradaivon @bang_bar0n Halah pegawai scbd mana sempet punya sampingan, keburu stress sama depresi duluan ditempat kerja"
sempet,sempat,37,"@christyo90 @withafrs @pradaivon @bang_bar0n Halah pegawai scbd mana sempet punya sampingan, keburu stress sama depresi duluan ditempat kerja"
duluan,lebih dahulu,37,"@christyo90 @withafrs @pradaivon @bang_bar0n Halah pegawai scbd mana sempet punya sampingan, keburu stress sama depresi duluan ditempat kerja"
shinji,,38,@manbarondenna Shinji makin depresi melihat ini 😭
irt,ibu rumah tangga,39,"Ternyata selama ini dia mengalami depresi, jd IRT urus 3 anak yg jaraknya deketan itu capek, di tambah celetukan2 yg kurang berkenan di hati nya + kuranya support keluarga terdekat menjadi salah satu penyebabnya."
deketan,berdekatan,39,"Ternyata selama ini dia mengalami depresi, jd IRT urus 3 anak yg jaraknya deketan itu capek, di tambah celetukan2 yg kurang berkenan di hati nya + kuranya support keluarga terdekat menjadi salah satu penyebabnya."
support,mendukung,39,"Ternyata selama ini dia mengalami depresi, jd IRT urus 3 anak yg jaraknya deketan itu capek, di tambah celetukan2 yg kurang berkenan di hati nya + kuranya support keluarga terdekat menjadi salah satu penyebabnya."
kadrun,,41,"@BukanKaumMuna @AndrizalCandra @Dennysiregar7 Susah mas otaknya udah ke doktrin kadrun...mentalnya juga udah depresi, buzzer pula 🤣"
buzzer,pemanipulasi opini publik,41,"@BukanKaumMuna @AndrizalCandra @Dennysiregar7 Susah mas otaknya udah ke doktrin kadrun...mentalnya juga udah depresi, buzzer pula 🤣"
mjb,maaf nimbrung,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
rs,rumah sakit,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
kmrin,kemarin,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
spkj,spesialis kedokteran jiwa,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
rsbs,sumah sakit bina sehat,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
lgsg,langsung,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
diagnosa,diagnosis,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
nyampe,sampai,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
ngobrolnya,mengobrolnya,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
gtu,begitu,42,"@matchauli @hungrymindx @jembermfs Mjb kak, di RS mana Kmrin aku ke SpKJ RSBS Lgsg di diagnosa Bipolar dong Padahal baru pertama konsul Dan gk nyampe 15 menit ngobrolnya Lgsg di kasih obat pula Jd gk sreg gtu Pengen ganti dokter"
askrl,tanya lini masa,43,"[askrl] sebenernya orangtua itu sadar gak sih kalo yg menciptakan trust issue, anger issue, anxiety, bipolar nya gue tuh mereka sendiri. Mereka yg buat anaknya punya itu semua"
sebenernya,sebenarnya,43,"[askrl] sebenernya orangtua itu sadar gak sih kalo yg menciptakan trust issue, anger issue, anxiety, bipolar nya gue tuh mereka sendiri. Mereka yg buat anaknya punya itu semua"
trust,kepercayaan,43,"[askrl] sebenernya orangtua itu sadar gak sih kalo yg menciptakan trust issue, anger issue, anxiety, bipolar nya gue tuh mereka sendiri. Mereka yg buat anaknya punya itu semua"
issue,masalah,43,"[askrl] sebenernya orangtua itu sadar gak sih kalo yg menciptakan trust issue, anger issue, anxiety, bipolar nya gue tuh mereka sendiri. Mereka yg buat anaknya punya itu semua"
anger,kemarahan,43,"[askrl] sebenernya orangtua itu sadar gak sih kalo yg menciptakan trust issue, anger issue, anxiety, bipolar nya gue tuh mereka sendiri. Mereka yg buat anaknya punya itu semua"
oh,,44,"oh no, i got my pretty wonyo. gajadi depresi https://t.co/N4c3ZwuojG"
no,tidak,44,"oh no, i got my pretty wonyo. gajadi depresi https://t.co/N4c3ZwuojG"
pretty,cantik,44,"oh no, i got my pretty wonyo. gajadi depresi https://t.co/N4c3ZwuojG"
wonyo,,44,"oh no, i got my pretty wonyo. gajadi depresi https://t.co/N4c3ZwuojG"
gajadi,tidak jadi,44,"oh no, i got my pretty wonyo. gajadi depresi https://t.co/N4c3ZwuojG"
hmmm,berdeham,45,"Nasib paling tragis hmmm Gu dongmae? Udh anak pemotong daging, lari dari joseon, balik2 powerful sih tapi cintanya ga dibalikin, mana dia depresi (keknya) dan lihat Hina mati lg, terus matinya ga terhormat diseret dpn umum 😭 gatau mayatnya di kemanain+"
gu,,45,"Nasib paling tragis hmmm Gu dongmae? Udh anak pemotong daging, lari dari joseon, balik2 powerful sih tapi cintanya ga dibalikin, mana dia depresi (keknya) dan lihat Hina mati lg, terus matinya ga terhormat diseret dpn umum 😭 gatau mayatnya di kemanain+"
dongmae,,45,"Nasib paling tragis hmmm Gu dongmae? Udh anak pemotong daging, lari dari joseon, balik2 powerful sih tapi cintanya ga dibalikin, mana dia depresi (keknya) dan lihat Hina mati lg, terus matinya ga terhormat diseret dpn umum 😭 gatau mayatnya di kemanain+"
